realtime_start;realtime_end;date;value
23 December 2019;2019-12-23;10/2/1989;11
23 December 2019;2019-12-23;24/2/1989;11.5
23 December 2019;2019-12-23;5/6/1989;11
23 December 2019;2019-12-23;31/7/1989;10.5
23 December 2019;2019-12-23;8/1/1990;10
23 December 2019;2019-12-23;2/1/1991;9.5
23 December 2019;2019-12-23;4/2/1991;9
23 December 2019;2019-12-23;1/5/1991;8.5
23 December 2019;2019-12-23;13/9/1991;8
23 December 2019;2019-12-23;6/11/1991;7.5
23 December 2019;2019-12-23;23/12/1991;6.5
23 December 2019;2019-12-23;2/7/1992;6.0
23 December 2019;2019-12-23;24/3/1994;6.25
23 December 2019;2019-12-23;19/4/1994;6.75
23 December 2019;2019-12-23;17/5/1994;7.25
23 December 2019;2019-12-23;16/8/1994;7.75
23 December 2019;2019-12-23;15/11/1994;8.5
23 December 2019;2019-12-23;1/2/1995;9.0
23 December 2019;2019-12-23;7/7/1995;8.75
23 December 2019;2019-12-23;20/12/1995;8.50
23 December 2019;2019-12-23;1/2/1996;8.25
23 December 2019;2019-12-23;26/3/1997;8.50
23 December 2019;2019-12-23;30/9/1998;8.25
23 December 2019;2019-12-23;16/10/1998;8.00
23 December 2019;2019-12-23;18/11/1998;7.75
23 December 2019;2019-12-23;1/7/1999;8.00
23 December 2019;2019-12-23;25/8/1999;8.25
23 December 2019;2019-12-23;17/11/1999;8.50
23 December 2019;2019-12-23;3/2/2000;8.75
23 December 2019;2019-12-23;22/3/2000;9.00
23 December 2019;2019-12-23;17/5/2000;9.50
23 December 2019;2019-12-23;4/1/2001;9.00
23 December 2019;2019-12-23;1/2/2001;8.50
23 December 2019;2019-12-23;21/3/2001;8.00
23 December 2019;2019-12-23;19/4/2001;7.50
23 December 2019;2019-12-23;16/5/2001;7.00
23 December 2019;2019-12-23;28/6/2001;6.75
23 December 2019;2019-12-23;22/8/2001;6.50
23 December 2019;2019-12-23;18/9/2001;6.00
23 December 2019;2019-12-23;3/10/2001;5.50
23 December 2019;2019-12-23;7/11/2001;5.00
23 December 2019;2019-12-23;12/12/2001;4.75
23 December 2019;2019-12-23;7/11/2002;4.25
23 December 2019;2019-12-23;27/6/2003;4.00
23 December 2019;2019-12-23;1/7/2004;4.25
23 December 2019;2019-12-23;11/8/2004;4.50
23 December 2019;2019-12-23;21/9/2004;4.75
23 December 2019;2019-12-23;10/11/2004;5.00
23 December 2019;2019-12-23;15/12/2004;5.25
23 December 2019;2019-12-23;2/2/2005;5.50
23 December 2019;2019-12-23;22/3/2005;5.75
23 December 2019;2019-12-23;3/5/2005;6.00
23 December 2019;2019-12-23;30/6/2005;6.25
23 December 2019;2019-12-23;9/8/2005;6.50
23 December 2019;2019-12-23;20/9/2005;6.75
23 December 2019;2019-12-23;1/11/2005;7.00
23 December 2019;2019-12-23;13/12/2005;7.25
23 December 2019;2019-12-23;31/1/2006;7.50
23 December 2019;2019-12-23;28/3/2006;7.75
23 December 2019;2019-12-23;10/5/2006;8.00
23 December 2019;2019-12-23;29/6/2006;8.25
23 December 2019;2019-12-23;18/9/2007;7.75
23 December 2019;2019-12-23;31/10/2007;7.50
23 December 2019;2019-12-23;11/12/2007;7.25
23 December 2019;2019-12-23;22/1/2008;6.50
23 December 2019;2019-12-23;30/1/2008;6.00
23 December 2019;2019-12-23;18/3/2008;5.25
23 December 2019;2019-12-23;30/4/2008;5.00
23 December 2019;2019-12-23;8/10/2008;4.50
23 December 2019;2019-12-23;29/10/2008;4.00
23 December 2019;2019-12-23;16/12/2008;3.25
23 December 2019;2019-12-23;17/12/2015;3.50
23 December 2019;2019-12-23;15/12/2016;3.75
23 December 2019;2019-12-23;16/3/2017;4.00
23 December 2019;2019-12-23;15/6/2017;4.25
23 December 2019;2019-12-23;14/12/2017;4.50
23 December 2019;2019-12-23;22/3/2018;4.75
23 December 2019;2019-12-23;14/6/2018;5.00
23 December 2019;2019-12-23;27/9/2018;5.25
23 December 2019;2019-12-23;20/12/2018;5.50
23 December 2019;2019-12-23;1/8/2019;5.25
23 December 2019;2019-12-23;19/9/2019;5.00
23 December 2019;2019-12-23;31/10/2019;4.75
